Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor2,bom,85.7552,85938,0.1828
Sensor2,bom,86.7553,86938,0.1827
Sensor2,bom,87.7552,87.9381,0.182868
Sensor2,bom,88.7552,88.9381,0.182922
Sensor2,bom,89.7551,89938,0.182921
Sensor2,bom,90.7551,90.9379,0.182847
Sensor2,bom,91.7551,91938,0.182987
Sensor2,bom,92.7552,92938,0.182862
Sensor2,bom,93.7552,93.9381,0.182858
Sensor2,bom,94755,94938,0.182991
Sensor2,bom,95.7552,95.9381,0.182911
Sensor2,bom,96.7552,96938,0.182743
Sensor2,bom,97.7549,97.9379,0.182965
Sensor2,bom,98755,98.9378,0.182765
Sensor2,bom,99.7551,99.9379,0.182838
Sensor2,bom,100755,100938,0.182857
Sensor2,bom,101755,101938,0.18294
Sensor2,bom,102755,102938,0.183072
Sensor2,bom,103755,103938,0.182862
Sensor2,bom,104755,104938,0.182929
Sensor2,bom,105755,105938,0.182882
Sensor2,bom,106755,106938,0.18271
Sensor2,bom,107755,107938,0.182974
Sensor2,bom,108755,108938,0.183113
Sensor2,bom,109755,109938,0.18279
Sensor2,bom,110755,110938,0.182873
Sensor2,bom,111755,111938,0.182989
Sensor2,bom,112755,112938,0.1827
Sensor2,bom,113755,113938,0.183069
Sensor2,bom,114755,114938,0.182757
Sensor2,bom,115755,115938,0.182943
Sensor2,bom,116755,116938,0.182802
Sensor2,bom,117755,117938,0.182788
Sensor2,bom,118755,118938,0.182904
Sensor2,bom,119755,119938,0.18302
Sensor2,bom,120755,120938,0.182987
Sensor2,bom,121755,121938,0.183066
Sensor2,bom,122755,122938,0.182703
Sensor2,bom,123755,123938,0.183052
Sensor2,bom,124755,124938,0.182989
Sensor2,bom,125755,125938,0.183029
Sensor2,bom,126755,126938,0.182937
Sensor2,bom,127755,127938,0.183112
Sensor2,bom,128755,128938,0.182967
Sensor2,bom,129755,129938,0.182886
Sensor2,bom,130755,130938,0.182681
Sensor2,bom,131755,131938,0.18307
Sensor2,bom,132755,132938,0.183048
Sensor2,bom,133755,133938,0.182839
Sensor2,bom,134755,134938,0.182728
